"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_002310475.1_ASM231047v1","GCF_010669245.1_ASM1066924v1","GCF_012219705.1_ASM1221970v1","GCF_012219925.1_ASM1221992v1","GCF_012220065.1_ASM1222006v1","GCF_012220405.1_ASM1222040v1"
"group_242","","hypothetical protein","6","6","1","1","3672","","","","671","1841","1646","GCF_002310475.1_00408","GCF_010669245.1_01081","GCF_012219705.1_01749","GCF_012219925.1_01874","GCF_012220065.1_01648","GCF_012220405.1_01630"
"group_253","","hypothetical protein","6","6","1","1","2732","","","","416","1574","767","GCF_002310475.1_00721","GCF_010669245.1_02156","GCF_012219705.1_02111","GCF_012219925.1_02302","GCF_012220065.1_01976","GCF_012220405.1_01943"
"group_256","","hypothetical protein","6","6","1","1","2712","","","","380","380","380","GCF_002310475.1_00732","GCF_010669245.1_02142","GCF_012219705.1_02122","GCF_012219925.1_02314","GCF_012220065.1_01987","GCF_012220405.1_01953"
"group_271","","hypothetical protein","6","6","1","1","1364","","","","719","1472","1242","GCF_002310475.1_00967","GCF_010669245.1_01879","GCF_012219705.1_02356","GCF_012219925.1_00215","GCF_012220065.1_02223","GCF_012220405.1_02191"
"apbE_3","","FAD:protein FMN transferase","6","6","1","1","4153","","","","689","1115","1029","GCF_002310475.1_00982","GCF_010669245.1_01861","GCF_012219705.1_02371","GCF_012219925.1_02511","GCF_012220065.1_02238","GCF_012220405.1_02237"
"rnj1","","Ribonuclease J 1","6","6","1","1","598","","","","1697","1697","1697","GCF_002310475.1_00467","GCF_010669245.1_00108","GCF_012219705.1_01819","GCF_012219925.1_02019","GCF_012220065.1_01713","GCF_012220405.1_01698"
"rpsM","","30S ribosomal protein S13","6","6","1","1","1660","","","","365","365","365","GCF_002310475.1_00830","GCF_010669245.1_02036","GCF_012219705.1_02219","GCF_012219925.1_00354","GCF_012220065.1_02087","GCF_012220405.1_02057"
"group_2747","","hypothetical protein","6","6","1","1","1244","","","","356","356","356","GCF_002310475.1_01014","GCF_010669245.1_01760","GCF_012219705.1_02405","GCF_012219925.1_02554","GCF_012220065.1_02339","GCF_012220405.1_02320"
"group_2748","","hypothetical protein","6","6","1","1","1269","","","","917","917","917","GCF_002310475.1_01057","GCF_010669245.1_01717","GCF_012219705.1_00063","GCF_012219925.1_00039","GCF_012220065.1_00038","GCF_012220405.1_00039"
"rpsE","","30S ribosomal protein S5","6","6","1","1","1654","","","","494","494","494","GCF_002310475.1_00836","GCF_010669245.1_02030","GCF_012219705.1_02225","GCF_012219925.1_00348","GCF_012220065.1_02093","GCF_012220405.1_02063"
"group_2750","","hypothetical protein","6","6","1","1","1407","","","","197","197","197","GCF_002310475.1_01313","GCF_010669245.1_01478","GCF_012219705.1_00325","GCF_012219925.1_00502","GCF_012220065.1_00272","GCF_012220405.1_00272"
"fabG_2","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","6","6","1","1","3759","","","","734","734","734","GCF_002310475.1_00332","GCF_010669245.1_01012","GCF_012219705.1_01688","GCF_012219925.1_01791","GCF_012220065.1_01588","GCF_012220405.1_01569"
"group_2752","","hypothetical protein","6","6","1","1","605","","","","470","470","470","GCF_002310475.1_00460","GCF_010669245.1_00117","GCF_012219705.1_01812","GCF_012219925.1_02012","GCF_012220065.1_01706","GCF_012220405.1_01691"
"oppF","","Oligopeptide transport ATP-binding protein OppF","6","6","1","1","2987","","","","923","923","923","GCF_002310475.1_01383","GCF_010669245.1_01399","GCF_012219705.1_00398","GCF_012219925.1_00587","GCF_012220065.1_00370","GCF_012220405.1_00349"
"ftsE","","Cell division ATP-binding protein FtsE","6","6","1","1","1959","","","","695","695","695","GCF_002310475.1_00036","GCF_010669245.1_00722","GCF_012219705.1_01393","GCF_012219925.1_01095","GCF_012220065.1_01341","GCF_012220405.1_01323"
"group_2755","","putative protein","6","6","1","1","2695","","","","362","362","362","GCF_002310475.1_00748","GCF_010669245.1_02119","GCF_012219705.1_02138","GCF_012219925.1_02336","GCF_012220065.1_02003","GCF_012220405.1_01975"
"iolU_2","","scyllo-inositol 2-dehydrogenase (NADP(+)) IolU","6","6","1","1","3718","","","","965","965","965","GCF_002310475.1_00368","GCF_010669245.1_01053","GCF_012219705.1_01724","GCF_012219925.1_01828","GCF_012220065.1_01623","GCF_012220405.1_01604"
"trpS2","","Tryptophan--tRNA ligase 2","6","6","1","1","4139","","","","1022","1022","1022","GCF_002310475.1_00992","GCF_010669245.1_01849","GCF_012219705.1_02381","GCF_012219925.1_02523","GCF_012220065.1_02247","GCF_012220405.1_02247"
"rplJ","","50S ribosomal protein L10","6","6","1","1","2439","","","","500","500","500","GCF_002310475.1_02045","GCF_010669245.1_00558","GCF_012219705.1_01204","GCF_012219925.1_01372","GCF_012220065.1_01087","GCF_012220405.1_01168"
"group_2759","","hypothetical protein","6","6","1","1","3681","","","","566","566","566","GCF_002310475.1_00401","GCF_010669245.1_01074","GCF_012219705.1_01742","GCF_012219925.1_01865","GCF_012220065.1_01641","GCF_012220405.1_01623"
"atpE","","ATP synthase subunit c","6","6","1","1","3795","","","","200","200","200","GCF_002310475.1_00306","GCF_010669245.1_00986","GCF_012219705.1_01662","GCF_012219925.1_01754","GCF_012220065.1_01561","GCF_012220405.1_01543"
"artM_1","","Arginine transport ATP-binding protein ArtM","6","6","1","1","4048","","","","740","740","740","GCF_002310475.1_00126","GCF_010669245.1_00789","GCF_012219705.1_01457","GCF_012219925.1_01587","GCF_012220065.1_01409","GCF_012220405.1_01393"
"rpmC","","50S ribosomal protein L29","6","6","1","1","1646","","","","206","206","206","GCF_002310475.1_00844","GCF_010669245.1_02022","GCF_012219705.1_02233","GCF_012219925.1_00340","GCF_012220065.1_02101","GCF_012220405.1_02071"
"group_2763","","hypothetical protein","6","6","1","1","1761","","","","239","239","239","GCF_002310475.1_00043","GCF_010669245.1_00729","GCF_012219705.1_01399","GCF_012219925.1_01088","GCF_012220065.1_01347","GCF_012220405.1_01330"
"ldh1","","L-lactate dehydrogenase 1","6","6","1","1","1965","","","","977","977","977","GCF_002310475.1_00030","GCF_010669245.1_00715","GCF_012219705.1_01387","GCF_012219925.1_01101","GCF_012220065.1_01335","GCF_012220405.1_01317"
"rplU","","50S ribosomal protein L21","6","6","1","1","283","","","","311","311","311","GCF_002310475.1_01272","GCF_010669245.1_01521","GCF_012219705.1_00286","GCF_012219925.1_00449","GCF_012220065.1_00231","GCF_012220405.1_00231"
"group_2766","","hypothetical protein","6","6","1","1","1358","","","","959","959","959","GCF_002310475.1_00955","GCF_010669245.1_01886","GCF_012219705.1_02345","GCF_012219925.1_00224","GCF_012220065.1_02212","GCF_012220405.1_02186"
"liaS","","Sensor histidine kinase LiaS","6","6","1","1","4105","","","","944","944","944","GCF_002310475.1_00177","GCF_010669245.1_00850","GCF_012219705.1_01508","GCF_012219925.1_01645","GCF_012220065.1_01460","GCF_012220405.1_01445"
"group_2768","","hypothetical protein","6","6","1","1","4062","","","","407","407","407","GCF_002310475.1_00140","GCF_010669245.1_00803","GCF_012219705.1_01471","GCF_012219925.1_01601","GCF_012220065.1_01423","GCF_012220405.1_01407"
"infA","","Translation initiation factor IF-1","6","6","1","1","1659","","","","218","218","218","GCF_002310475.1_00831","GCF_010669245.1_02035","GCF_012219705.1_02220","GCF_012219925.1_00353","GCF_012220065.1_02088","GCF_012220405.1_02058"
"group_2770","","hypothetical protein","6","6","1","1","2961","","","","239","239","239","GCF_002310475.1_01929","GCF_010669245.1_00438","GCF_012219705.1_01039","GCF_012219925.1_01490","GCF_012220065.1_00929","GCF_012220405.1_00950"
"rpmF","","50S ribosomal protein L32","6","6","1","1","4335","","","","167","167","167","GCF_002310475.1_00702","GCF_010669245.1_02177","GCF_012219705.1_02092","GCF_012219925.1_02278","GCF_012220065.1_01957","GCF_012220405.1_01924"
"prs2","","Putative ribose-phosphate pyrophosphokinase 2","6","6","1","1","1835","","","","965","965","965","GCF_002310475.1_01632","GCF_010669245.1_01155","GCF_012219705.1_00646","GCF_012219925.1_00797","GCF_012220065.1_00620","GCF_012220405.1_00551"
"coaBC_2","","Coenzyme A biosynthesis bifunctional protein CoaBC","6","6","1","1","640","","","","551","551","551","GCF_002310475.1_00446","GCF_010669245.1_00134","GCF_012219705.1_01788","GCF_012219925.1_01984","GCF_012220065.1_01685","GCF_012220405.1_01668"
"secG","","putative protein-export membrane protein SecG","6","6","1","1","4081","","","","248","248","248","GCF_002310475.1_00158","GCF_010669245.1_00821","GCF_012219705.1_01489","GCF_012219925.1_01621","GCF_012220065.1_01441","GCF_012220405.1_01426"
"dltC","","D-alanyl carrier protein","6","6","1","1","2604","","","","239","239","239","GCF_002310475.1_02136","GCF_010669245.1_00636","GCF_012219705.1_01295","GCF_012219925.1_01249","GCF_012220065.1_01245","GCF_012220405.1_01233"
"rplM","","50S ribosomal protein L13","6","6","1","1","1218","","","","446","446","446","GCF_002310475.1_01074","GCF_010669245.1_01700","GCF_012219705.1_00080","GCF_012219925.1_00056","GCF_012220065.1_00055","GCF_012220405.1_00056"
"pgmB","","Beta-phosphoglucomutase","6","6","1","1","2812","","","","662","662","662","GCF_002310475.1_01845","GCF_010669245.1_00354","GCF_012219705.1_00854","GCF_012219925.1_01029","GCF_012220065.1_00847","GCF_012220405.1_00760"
"group_2784","","hypothetical protein","6","6","1","1","2566","","","","467","467","467","GCF_002310475.1_02126","GCF_010669245.1_00626","GCF_012219705.1_01285","GCF_012219925.1_01260","GCF_012220065.1_01235","GCF_012220405.1_01223"
"hisB","","Histidine biosynthesis bifunctional protein HisB","6","6","1","1","1260","","","","584","584","584","GCF_002310475.1_01066","GCF_010669245.1_01708","GCF_012219705.1_00072","GCF_012219925.1_00048","GCF_012220065.1_00047","GCF_012220405.1_00048"
"nrdI_1","","Protein NrdI","6","6","1","1","1552","","","","356","356","356","GCF_002310475.1_02084","GCF_010669245.1_00593","GCF_012219705.1_01242","GCF_012219925.1_01304","GCF_012220065.1_01193","GCF_012220405.1_01062"
"sipW","","hypothetical protein","6","6","1","1","208","","","","590","614","607","GCF_002310475.1_01182","GCF_010669245.1_01624","GCF_012219705.1_00199","GCF_012219925.1_00149","GCF_012220065.1_00141","GCF_012220405.1_00138"
"metP","","Methionine import system permease protein MetP","6","6","1","1","3171","","","","677","677","677","GCF_002310475.1_01436","GCF_010669245.1_01341","GCF_012219705.1_00510","GCF_012219925.1_00645","GCF_012220065.1_00425","GCF_012220405.1_00408"
"pyrG","","CTP synthase","6","6","1","1","3685","","","","1610","1610","1610","GCF_002310475.1_00398","GCF_010669245.1_01070","GCF_012219705.1_01739","GCF_012219925.1_01862","GCF_012220065.1_01638","GCF_012220405.1_01619"
"group_2795","","hypothetical protein","6","6","1","1","1886","","","","284","284","284","GCF_002310475.1_01581","GCF_010669245.1_01203","GCF_012219705.1_00595","GCF_012219925.1_00739","GCF_012220065.1_00570","GCF_012220405.1_00496"
"group_2796","","hypothetical protein","6","6","1","1","3754","","","","437","437","437","GCF_002310475.1_00337","GCF_010669245.1_01017","GCF_012219705.1_01693","GCF_012219925.1_01796","GCF_012220065.1_01593","GCF_012220405.1_01574"
"yecS_1","","L-cystine transport system permease protein YecS","6","6","1","1","1096","","","","686","686","686","GCF_002310475.1_00484","GCF_010669245.1_00072","GCF_012219705.1_01838","GCF_012219925.1_02036","GCF_012220065.1_01731","GCF_012220405.1_01715"
"rpmB","","50S ribosomal protein L28","6","6","1","1","2694","","","","188","188","188","GCF_002310475.1_00749","GCF_010669245.1_02118","GCF_012219705.1_02139","GCF_012219925.1_02337","GCF_012220065.1_02004","GCF_012220405.1_01976"
"efp","","Elongation factor P","6","6","1","1","3158","","","","557","557","557","GCF_002310475.1_01504","GCF_010669245.1_01280","GCF_012219705.1_00567","GCF_012219925.1_00708","GCF_012220065.1_00484","GCF_012220405.1_00468"
"rpsC","","30S ribosomal protein S3","6","6","1","1","1644","","","","653","653","653","GCF_002310475.1_00846","GCF_010669245.1_02020","GCF_012219705.1_02235","GCF_012219925.1_00338","GCF_012220065.1_02103","GCF_012220405.1_02073"
"gpsA","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","6","6","1","1","2567","","","","1037","1037","1037","GCF_002310475.1_02127","GCF_010669245.1_00627","GCF_012219705.1_01286","GCF_012219925.1_01259","GCF_012220065.1_01236","GCF_012220405.1_01224"
"group_2806","","RNA-binding protein","6","6","1","1","1343","","","","308","308","308","GCF_002310475.1_00940","GCF_010669245.1_01900","GCF_012219705.1_02330","GCF_012219925.1_00240","GCF_012220065.1_02197","GCF_012220405.1_02171"
"rpsF","","30S ribosomal protein S6","6","6","1","1","2730","","","","299","299","299","GCF_002310475.1_00719","GCF_010669245.1_02158","GCF_012219705.1_02109","GCF_012219925.1_02299","GCF_012220065.1_01974","GCF_012220405.1_01941"
"carA","","Carbamoyl-phosphate synthase small chain","6","6","1","1","1991","","","","1088","1088","1088","GCF_002310475.1_01878","GCF_010669245.1_00386","GCF_012219705.1_00990","GCF_012219925.1_01543","GCF_012220065.1_00880","GCF_012220405.1_00894"
"group_2809","","hypothetical protein","6","6","1","1","2607","","","","158","158","158","GCF_002310475.1_02133","GCF_010669245.1_00633","GCF_012219705.1_01292","GCF_012219925.1_01252","GCF_012220065.1_01242","GCF_012220405.1_01230"
"group_2810","","hypothetical protein","6","6","1","1","1708","","","","326","326","326","GCF_002310475.1_00805","GCF_010669245.1_02063","GCF_012219705.1_02194","GCF_012219925.1_02400","GCF_012220065.1_02061","GCF_012220405.1_02032"
"ptsH","","Phosphocarrier protein HPr","6","6","1","1","1681","","","","269","269","269","GCF_002310475.1_00786","GCF_010669245.1_02082","GCF_012219705.1_02175","GCF_012219925.1_02374","GCF_012220065.1_02040","GCF_012220405.1_02013"
"comGA","","ComG operon protein 1","6","6","1","1","1619","","","","941","941","941","GCF_002310475.1_00871","GCF_010669245.1_01995","GCF_012219705.1_02260","GCF_012219925.1_00313","GCF_012220065.1_02128","GCF_012220405.1_02098"
"group_2813","","hypothetical protein","6","6","1","1","1623","","","","305","305","305","GCF_002310475.1_00867","GCF_010669245.1_01999","GCF_012219705.1_02256","GCF_012219925.1_00317","GCF_012220065.1_02124","GCF_012220405.1_02094"
"infC","","Translation initiation factor IF-3","6","6","1","1","3819","","","","500","500","500","GCF_002310475.1_00281","GCF_010669245.1_00958","GCF_012219705.1_01636","GCF_012219925.1_01728","GCF_012220065.1_01534","GCF_012220405.1_01518"
"fabH","","3-oxoacyl-[acyl-carrier-protein] synthase 3","6","6","1","1","3755","","","","980","980","980","GCF_002310475.1_00336","GCF_010669245.1_01016","GCF_012219705.1_01692","GCF_012219925.1_01795","GCF_012220065.1_01592","GCF_012220405.1_01573"
"group_2816","","hypothetical protein","6","6","1","1","1443","","","","296","296","296","GCF_002310475.1_01277","GCF_010669245.1_01516","GCF_012219705.1_00291","GCF_012219925.1_00454","GCF_012220065.1_00236","GCF_012220405.1_00236"
"group_2817","","hypothetical protein","6","6","1","1","4083","","","","224","224","224","GCF_002310475.1_00160","GCF_010669245.1_00823","GCF_012219705.1_01491","GCF_012219925.1_01623","GCF_012220065.1_01443","GCF_012220405.1_01428"
"nadE","","NH(3)-dependent NAD(+) synthetase","6","6","1","1","2685","","","","827","827","827","GCF_002310475.1_00756","GCF_010669245.1_02111","GCF_012219705.1_02146","GCF_012219925.1_02345","GCF_012220065.1_02011","GCF_012220405.1_01984"
"rpmGA","","50S ribosomal protein L33 1","6","6","1","1","4336","","","","149","149","149","GCF_002310475.1_00701","GCF_010669245.1_02178","GCF_012219705.1_02091","GCF_012219925.1_02277","GCF_012220065.1_01956","GCF_012220405.1_01923"
"trxA","","Thioredoxin","6","6","1","1","4007","","","","317","317","317","GCF_002310475.1_00103","GCF_010669245.1_00764","GCF_012219705.1_01430","GCF_012219925.1_01054","GCF_012220065.1_01378","GCF_012220405.1_01361"
"group_2821","","hypothetical protein","6","6","1","1","3196","","","","116","116","116","GCF_002310475.1_01459","GCF_010669245.1_01317","GCF_012219705.1_00533","GCF_012219925.1_00671","GCF_012220065.1_00449","GCF_012220405.1_00432"
"rpsJ","","30S ribosomal protein S10","6","6","1","1","1637","","","","308","308","308","GCF_002310475.1_00853","GCF_010669245.1_02013","GCF_012219705.1_02242","GCF_012219925.1_00331","GCF_012220065.1_02110","GCF_012220405.1_02080"
"group_2823","","putative ABC transporter ATP-binding protein","6","6","1","1","1091","","","","770","770","770","GCF_002310475.1_00479","GCF_010669245.1_00077","GCF_012219705.1_01833","GCF_012219925.1_02031","GCF_012220065.1_01726","GCF_012220405.1_01710"
"group_2824","","hypothetical protein","6","6","1","1","1283","","","","260","260","260","GCF_002310475.1_01030","GCF_010669245.1_01744","GCF_012219705.1_00036","GCF_012219925.1_00011","GCF_012220065.1_00011","GCF_012220405.1_00011"
"queT","","Queuosine precursor transporter QueT","6","6","1","1","1491","","","","503","503","503","GCF_002310475.1_00647","GCF_010669245.1_02213","GCF_012219705.1_02008","GCF_012219925.1_02223","GCF_012220065.1_01893","GCF_012220405.1_01888"
"fba","","Fructose-bisphosphate aldolase","6","6","1","1","536","","","","881","881","881","GCF_002310475.1_00538","GCF_010669245.1_00013","GCF_012219705.1_01893","GCF_012219925.1_02090","GCF_012220065.1_01784","GCF_012220405.1_01768"
"secY","","Protein translocase subunit SecY","6","6","1","1","1657","","","","1310","1310","1310","GCF_002310475.1_00833","GCF_010669245.1_02033","GCF_012219705.1_02222","GCF_012219925.1_00351","GCF_012220065.1_02090","GCF_012220405.1_02060"
"group_2828","","hypothetical protein","6","6","1","1","2714","","","","269","269","269","GCF_002310475.1_00730","GCF_010669245.1_02145","GCF_012219705.1_02120","GCF_012219925.1_02312","GCF_012220065.1_01985","GCF_012220405.1_01951"
"group_2829","","hypothetical protein","6","6","1","1","542","","","","305","305","305","GCF_002310475.1_00543","GCF_010669245.1_00008","GCF_012219705.1_01898","GCF_012219925.1_02095","GCF_012220065.1_01789","GCF_012220405.1_01773"
"pepA","","Glutamyl aminopeptidase","6","6","1","1","356","","","","1085","1085","1085","GCF_002310475.1_01251","GCF_010669245.1_01546","GCF_012219705.1_00266","GCF_012219925.1_00436","GCF_012220065.1_00209","GCF_012220405.1_00217"
"livH","","High-affinity branched-chain amino acid transport system permease protein LivH","6","6","1","1","1359","","","","881","881","881","GCF_002310475.1_00956","GCF_010669245.1_01885","GCF_012219705.1_02346","GCF_012219925.1_00223","GCF_012220065.1_02213","GCF_012220405.1_02187"
"group_2831","","hypothetical protein","6","6","1","1","2671","","","","239","239","239","GCF_002310475.1_00770","GCF_010669245.1_02097","GCF_012219705.1_02160","GCF_012219925.1_02359","GCF_012220065.1_02025","GCF_012220405.1_01998"
"group_2832","","hypothetical protein","6","6","1","1","1587","","","","176","176","176","GCF_002310475.1_00896","GCF_010669245.1_01967","GCF_012219705.1_02287","GCF_012219925.1_00286","GCF_012220065.1_02153","GCF_012220405.1_02125"
"rplA","","50S ribosomal protein L1","6","6","1","1","723","","","","686","686","686","GCF_002310475.1_01398","GCF_010669245.1_01384","GCF_012219705.1_00472","GCF_012219925.1_00602","GCF_012220065.1_00387","GCF_012220405.1_00364"
"group_2834","","hypothetical protein","6","6","1","1","498","","","","131","131","131","GCF_002310475.1_00552","GCF_010669245.1_02302","GCF_012219705.1_01908","GCF_012219925.1_02109","GCF_012220065.1_01800","GCF_012220405.1_01785"
"group_2835","","hypothetical protein","6","6","1","1","1293","","","","194","194","194","GCF_002310475.1_01028","GCF_010669245.1_01746","GCF_012219705.1_00009","GCF_012219925.1_00009","GCF_012220065.1_00009","GCF_012220405.1_00009"
"rpmA","","50S ribosomal protein L27","6","6","1","1","1440","","","","290","290","290","GCF_002310475.1_01274","GCF_010669245.1_01519","GCF_012219705.1_00288","GCF_012219925.1_00451","GCF_012220065.1_00233","GCF_012220405.1_00233"
"tpiA","","Triosephosphate isomerase","6","6","1","1","756","","","","758","758","758","GCF_002310475.1_01419","GCF_010669245.1_01358","GCF_012219705.1_00493","GCF_012219925.1_00626","GCF_012220065.1_00408","GCF_012220405.1_00391"
"oppC","","Oligopeptide transport system permease protein OppC","6","6","1","1","2985","","","","920","920","920","GCF_002310475.1_01381","GCF_010669245.1_01401","GCF_012219705.1_00396","GCF_012219925.1_00585","GCF_012220065.1_00368","GCF_012220405.1_00347"
"group_2839","","Putative membrane protein insertion efficiency factor","6","6","1","1","2808","","","","263","263","263","GCF_002310475.1_01849","GCF_010669245.1_00358","GCF_012219705.1_00858","GCF_012219925.1_01033","GCF_012220065.1_00851","GCF_012220405.1_00764"
"ytpP","","Thioredoxin-like protein YtpP","6","6","1","1","310","","","","317","338","320","GCF_002310475.1_01253","GCF_010669245.1_01544","GCF_012219705.1_00268","GCF_012219925.1_00438","GCF_012220065.1_00211","GCF_012220405.1_00219"
"hup","","DNA-binding protein HU","6","6","1","1","3693","","","","275","275","275","GCF_002310475.1_00390","GCF_010669245.1_01061","GCF_012219705.1_01731","GCF_012219925.1_01854","GCF_012220065.1_01630","GCF_012220405.1_01611"
"mioC_2","","Protein MioC","6","6","1","1","1486","","","","443","443","443","GCF_002310475.1_00652","GCF_010669245.1_02208","GCF_012219705.1_02013","GCF_012219925.1_02228","GCF_012220065.1_01898","GCF_012220405.1_01893"
"sufT","","Fe-S protein maturation auxiliary factor SufT","6","6","1","1","3940","","","","329","329","329","GCF_002310475.1_00211","GCF_010669245.1_00884","GCF_012219705.1_01511","GCF_012219925.1_01650","GCF_012220065.1_01463","GCF_012220405.1_01448"
"ybiT_3","","putative ABC transporter ATP-binding protein YbiT","6","6","1","1","4143","","","","1622","1622","1622","GCF_002310475.1_00991","GCF_010669245.1_01852","GCF_012219705.1_02380","GCF_012219925.1_02522","GCF_012220065.1_02246","GCF_012220405.1_02246"
"rpmD","","50S ribosomal protein L30","6","6","1","1","1655","","","","179","179","179","GCF_002310475.1_00835","GCF_010669245.1_02031","GCF_012219705.1_02224","GCF_012219925.1_00349","GCF_012220065.1_02092","GCF_012220405.1_02062"
"group_2845","","hypothetical protein","6","6","1","1","1971","","","","434","434","434","GCF_002310475.1_00024","GCF_010669245.1_00709","GCF_012219705.1_01381","GCF_012219925.1_01107","GCF_012220065.1_01329","GCF_012220405.1_01311"
"glmS","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","6","6","1","1","1548","","","","1817","1817","1817","GCF_002310475.1_02080","GCF_010669245.1_00589","GCF_012219705.1_01238","GCF_012219925.1_01308","GCF_012220065.1_01189","GCF_012220405.1_01066"
"group_2847","","hypothetical protein","6","6","1","1","2769","","","","707","707","707","GCF_002310475.1_01857","GCF_010669245.1_00364","GCF_012219705.1_00969","GCF_012219925.1_01564","GCF_012220065.1_00859","GCF_012220405.1_00873"
"hemW","","Heme chaperone HemW","6","6","1","1","1924","","","","1136","1136","1136","GCF_002310475.1_02193","GCF_010669245.1_00686","GCF_012219705.1_01352","GCF_012219925.1_01138","GCF_012220065.1_01302","GCF_012220405.1_01287"
"group_2849","","hypothetical protein","6","6","1","1","3663","","","","983","983","983","GCF_002310475.1_00417","GCF_010669245.1_01090","GCF_012219705.1_01758","GCF_012219925.1_01883","GCF_012220065.1_01657","GCF_012220405.1_01638"
"group_285","","hypothetical protein","6","6","1","1","3403","","","","257","356","339","GCF_002310475.1_01363","GCF_010669245.1_01418","GCF_012219705.1_00378","GCF_012219925.1_00565","GCF_012220065.1_00350","GCF_012220405.1_00328"
"msrB","","Peptide methionine sulfoxide reductase MsrB","6","6","1","1","3172","","","","443","443","443","GCF_002310475.1_01437","GCF_010669245.1_01340","GCF_012219705.1_00511","GCF_012219925.1_00646","GCF_012220065.1_00426","GCF_012220405.1_00409"
"group_2851","","hypothetical protein","6","6","1","1","1245","","","","746","746","746","GCF_002310475.1_01015","GCF_010669245.1_01759","GCF_012219705.1_02406","GCF_012219925.1_02557","GCF_012220065.1_02340","GCF_012220405.1_02321"
"rpmI","","50S ribosomal protein L35","6","6","1","1","3820","","","","200","200","200","GCF_002310475.1_00280","GCF_010669245.1_00957","GCF_012219705.1_01635","GCF_012219925.1_01727","GCF_012220065.1_01533","GCF_012220405.1_01517"
"group_2853","","hypothetical protein","6","6","1","1","1522","","","","167","167","167","GCF_002310475.1_00618","GCF_010669245.1_02243","GCF_012219705.1_01979","GCF_012219925.1_02194","GCF_012220065.1_01864","GCF_012220405.1_01859"
"group_2854","","hypothetical protein","6","6","1","1","3692","","","","572","572","572","GCF_002310475.1_00391","GCF_010669245.1_01062","GCF_012219705.1_01732","GCF_012219925.1_01855","GCF_012220065.1_01631","GCF_012220405.1_01612"
"mreC","","Cell shape-determining protein MreC","6","6","1","1","1688","","","","863","863","863","GCF_002310475.1_00793","GCF_010669245.1_02075","GCF_012219705.1_02182","GCF_012219925.1_02381","GCF_012220065.1_02047","GCF_012220405.1_02020"
